% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.066	1	1	107	7	1	22	2769	22	2769	0
1.067	1	1	107	8	1	22	2769	22	2769	0
1.067	1	1	107	8	1	22	2769	22	2769	0
1.067	1	1	107	8	1	22	2769	22	2769	0
1.068	1	1	107	9	1	22	2769	22	2769	0
1.068	1	1	107	9	1	22	2769	22	2769	0
1.068	1	1	107	9	1	22	2769	22	2769	0
1.069	1	1	107	10	1	22	2769	22	2769	0
1.069	1	1	107	10	1	22	2769	22	2769	0
1.069	1	1	107	10	1	22	2769	22	2769	0
1.07	1	1	108	1	1	22	2769	22	2769	0
1.07	1	1	108	1	1	22	2769	22	2769	0
1.07	1	1	108	1	1	22	2769	22	2769	0
1.071	1	1	108	2	1	22	2769	22	2769	0
1.071	1	1	108	2	1	22	2769	22	2769	0
1.071	1	1	108	2	1	22	2769	22	2769	0
1.072	1	1	108	3	1	22	2769	22	2769	0
1.072	1	1	108	3	1	22	2769	22	2769	0
1.072	1	1	108	3	1	22	2769	22	2769	0
1.073	1	1	108	4	1	22	2769	22	2769	0
1.073	1	1	108	4	1	22	2769	22	2769	0
1.073	1	1	108	4	1	22	2769	22	2769	0
1.074	1	1	108	5	1	22	2769	22	2769	0
1.074	1	1	108	5	1	22	2769	22	2769	0
1.074	1	1	108	5	1	22	2769	22	2769	0
1.075	1	1	108	6	1	22	2769	22	2769	0
1.075	1	1	108	6	1	22	2769	22	2769	0
1.075	1	1	108	6	1	22	2769	22	2769	0
1.076	1	1	108	7	1	22	2769	22	2769	0
1.076	1	1	108	7	1	22	2769	22	2769	0
1.076	1	1	108	7	1	22	2769	22	2769	0
1.077	1	1	108	8	1	22	2769	22	2769	0
1.077	1	1	108	8	1	22	2769	22	2769	0
1.077	1	1	108	8	1	22	2769	22	2769	0
1.078	1	1	108	9	1	22	2769	22	2769	0
1.078	1	1	108	9	1	22	2769	22	2769	0
1.078	1	1	108	9	1	22	2769	22	2769	0
1.079	1	1	108	10	1	22	2769	22	2769	0
1.079	1	1	108	10	1	22	2769	22	2769	0
1.079	1	1	108	10	1	22	2769	22	2769	0
1.08	1	1	109	1	1	22	2769	22	2769	0
1.08	1	1	109	1	1	22	2769	22	2769	0
1.08	1	1	109	1	1	22	2769	22	2769	0
1.081	1	1	109	2	1	22	2769	22	2769	0
1.081	1	1	109	2	1	22	2769	22	2769	0
1.081	1	1	109	2	1	22	2769	22	2769	0
1.082	1	1	109	3	1	22	2769	22	2769	0
1.082	1	1	109	3	1	22	2769	22	2769	0
1.082	1	1	109	3	1	22	2769	22	2769	0
1.083	1	1	109	4	1	22	2769	22	2769	0
1.083	1	1	109	4	1	22	2769	22	2769	0
1.083	1	1	109	4	1	22	2769	22	2769	0
